budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
237000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.avatarmovie.com/,19995,"[{""id"": 1463, ""name"": ""culture clash""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3386, ""name"": ""space war""}, {""id"": 3388, ""name"": ""space colony""}, {""id"": 3679, ""name"": ""society""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 9685, ""name"": ""futuristic""}, {""id"": 9840, ""name"": ""romance""}, {""id"": 9882, ""name"": ""space""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 10148, ""name"": ""tribe""}, {""id"": 10158, ""name"": ""alien planet""}, {""id"": 10987, ""name"": ""cgi""}, {""id"": 11399, ""name"": ""marine""}, {""id"": 13065, ""name"": ""soldier""}, {""id"": 14643, ""name"": ""battle""}, {""id"": 14720, ""name"": ""love affair""}, {""id"": 165431, ""name"": ""anti war""}, {""id"": 193554, ""name"": ""power relations""}, {""id"": 206690, ""name"": ""mind and soul""}, {""id"": 209714, ""name"": ""3d""}]",en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",12/10/2009,2787965087,162,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Enter the World of Pandora.,Avatar,7.2,11800
54000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.youmeanddupree.com/,1819,"[{""id"": 1253, ""name"": ""roommate""}, {""id"": 2038, ""name"": ""love of one's life""}, {""id"": 156578, ""name"": ""newlywed""}]",en,"You, Me and Dupree","After standing in as best man for his longtime friend Carl Petersen, Randy Dupree loses his job, becomes a barfly and attaches himself to the newlywed couple almost permanently -- as their houseguest. But the longer Dupree camps out on their couch, the closer he gets to Carl's bride, Molly, leaving the frustrated groom wondering when his pal will be moving out.",18.600367,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Kaplan/Perrone Entertainment"", ""id"": 11844}, {""name"": ""MMCB Film Produktion 2004"", ""id"": 59957}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/14/2006,130431368,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Two's company. Dupree's a crowd.,"You, Me and Dupree",5.4,407
21000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,2575,"[{""id"": 246, ""name"": ""dancing""}, {""id"": 470, ""name"": ""spy""}, {""id"": 1421, ""name"": ""birthday""}, {""id"": 1969, ""name"": ""map""}, {""id"": 2407, ""name"": ""fireworks""}, {""id"": 3450, ""name"": ""bridge""}, {""id"": 4289, ""name"": ""secret agent""}, {""id"": 8570, ""name"": ""president""}, {""id"": 10103, ""name"": ""children""}, {""id"": 10183, ""name"": ""independent film""}, {""id"": 11061, ""name"": ""debt""}, {""id"": 15058, ""name"": ""swimming""}, {""id"": 33501, ""name"": ""political""}, {""id"": 33624, ""name"": ""band""}]",en,The Tailor of Panama,"A British spy is banished to Panama after having an affair with an ambassador's mistress. Once there he makes connection with a local tailor with a nefarious past and connections to all of the top political and gangster figures in Panama. The tailor also has a wife, who works for the Panamanian president and a huge debt. The mission is to learn what the President intends to do with the Canal.",7.047975,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Merlin Films"", ""id"": 3201}]","[{""iso_3166_1"": ""IE"", ""name"": ""Ireland""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/11/2001,28008462,109,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,"In a place this treacherous, what a good spy needs is a spy of his own.",The Tailor of Panama,6.2,92
1000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",,26791,[],en,Brigham City,"Wes Clayton is a lawman and a bishop in a Mormon community called Brigham. The town is shaken when a woman from California is found murdered. Clayton and his young deputy work with an FBI agent sent to investigate. As a civil and spiritual leader in the frightened town, Clayton must uncover the town's deepest secrets, find the murderer and keep Brigham from ripping itself apart.",0.280083,"[{""name"": ""Main Street Movie Company"", ""id"": 6337}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/30/2001,852206,119,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Brigham City,7.3,4
100000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",,644,"[{""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 530, ""name"": ""prophecy""}, {""id"": 549, ""name"": ""prostitute""}, {""id"": 803, ""name"": ""android""}, {""id"": 936, ""name"": ""loss of mother""}, {""id"": 1603, ""name"": ""extraterrestrial technology""}, {""id"": 2219, ""name"": ""ice age""}, {""id"": 2393, ""name"": ""adoption""}, {""id"": 3205, ""name"": ""fairy tale""}, {""id"": 3244, ""name"": ""pinocchio""}, {""id"": 3246, ""name"": ""prosecution""}, {""id"": 3248, ""name"": ""gigolo""}, {""id"": 3249, ""name"": ""hologram""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 40850, ""name"": ""destiny""}, {""id"": 156702, ""name"": ""capture""}, {""id"": 161891, ""name"": ""doppelganger""}]",en,A.I. Artificial Intelligence,"A robotic boy, the first programmed to love, David is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin.",34.035114,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Stanley Kubrick Productions"", ""id"": 385}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/29/2001,235926552,146,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not.",A.I. Artificial Intelligence,6.8,1974
10000000,"[{""id"": 27, ""name"": ""Horror""}]",http://www.sinistermovie.com/,283445,"[{""id"": 3358, ""name"": ""haunted house""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 15016, ""name"": ""twins""}]",en,Sinister 2,A young mother and her twin sons move into a rural house that's marked for death.,26.090495,"[{""name"": ""Alliance Films"", ""id"": 2514}, {""name"": ""Blumhouse Productions"", ""id"": 3172}, {""name"": ""IM Global"", ""id"": 7437}, {""name"": ""Automatik Entertainment"", ""id"": 7625}, {""name"": ""Entertainment One"", ""id"": 8147}, {""name"": ""Tank Caterpillar"", ""id"": 69110}, {""name"": ""Steady Aim"", ""id"": 69111}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/19/2015,52882018,97,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Be careful, children at play.",Sinister 2,5.4,581
88000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.pixels-movie.com/,257344,"[{""id"": 282, ""name"": ""video game""}, {""id"": 5801, ""name"": ""nerd""}, {""id"": 192962, ""name"": ""alien attack""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 220855, ""name"": ""pixels""}]",en,Pixels,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,140.849495,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/16/2015,243637091,105,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Game On.,Pixels,5.6,2513
150000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.jurassicworld.com/,135397,"[{""id"": 1299, ""name"": ""monster""}, {""id"": 1718, ""name"": ""dna""}, {""id"": 1720, ""name"": ""tyrannosaurus rex""}, {""id"": 1766, ""name"": ""velociraptor""}, {""id"": 2041, ""name"": ""island""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10617, ""name"": ""disaster""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 12616, ""name"": ""dinosaur""}, {""id"": 155582, ""name"": ""amusement park""}, {""id"": 158130, ""name"": ""animal attack""}, {""id"": 158340, ""name"": ""theme park""}, {""id"": 178010, ""name"": ""jurassic park""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 223059, ""name"": ""animal horror""}]",en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,"[{""name"": ""Universal Studios"", ""id"": 13}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/9/2015,1513528810,124,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The park is open.,Jurassic World,6.5,8662
22000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.sonypictures.com/movies/underworld/site/main.html,277,"[{""id"": 810, ""name"": ""budapest""}, {""id"": 1552, ""name"": ""subway""}, {""id"": 2038, ""name"": ""love of one's life""}, {""id"": 3133, ""name"": ""vampire""}, {""id"": 4197, ""name"": ""bite""}, {""id"": 4198, ""name"": ""descendant""}, {""id"": 6062, ""name"": ""hostility""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 12564, ""name"": ""werewolf""}, {""id"": 34136, ""name"": ""blunt""}, {""id"": 231407, ""name"": ""fang vamp""}]",en,Underworld,"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.",81.829237,"[{""name"": ""Lakeshore Entertainment"", ""id"": 126}, {""name"": ""Laurinfilm"", ""id"": 7733}, {""name"": ""Subterranean Productions LLC"", ""id"": 7734}, {""name"": ""Subterranean Productions UK Ltd."", ""id"": 7735}, {""name"": ""Underworld Produktions GmbH"", ""id"": 7736}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""HU"", ""name"": ""Hungary""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/19/2003,95708457,121,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Underworld,Underworld,6.6,2512
35000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]",http://www.fwb-movie.com/,50544,"[{""id"": 3739, ""name"": ""funeral""}, {""id"": 9713, ""name"": ""friends""}, {""id"": 11612, ""name"": ""hospital""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,Friends with Benefits,"Jamie is a New York-based executive recruiter who entices Dylan, an art director from Los Angeles, to take a job at the New York office of GQ magazine. Finding that they have much in common, the two become fast friends. Feeling jaded by a number of broken romances, Dylan and Jamie decide that they are ready to quit looking for true love and focus on having fun. However, complications unfold when the two best pals add sex to their relationship.",40.526587,"[{""name"": ""Castle Rock Entertainment"", ""id"": 97}, {""name"": ""Screen Gems"", ""id"": 3287}, {""name"": ""Olive Bridge Entertainment"", ""id"": 7291}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/21/2011,150483765,109,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Some friends come with a happy ending.,Friends with Benefits,6.5,2237
55000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",,34314,"[{""id"": 2080, ""name"": ""stewardess""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 198541, ""name"": ""air marshal""}, {""id"": 207317, ""name"": ""christmas""}, {""id"": 208637, ""name"": ""turbulence""}]",en,Turbulence,"On a flight transporting dangerous convicts, murderer Ryan Weaver manages to break free and cause complete chaos throughout the plane. As various people on board fall victim to Weaver, it is ultimately down to flight attendant Teri Halloran to keep the aircraft from crashing, with on-ground support from an air traffic controller. While Halloran struggles to pilot the plane, Weaver continues to terrorize the surviving members of the crew.",4.700024,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Rysher Entertainment"", ""id"": 11661}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1/9/1997,11466088,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"If you weren't afraid of flying before, you will be now.",Turbulence,5.2,62
25000000,"[{""id"": 18, ""name"": ""Drama""}]",,866,"[{""id"": 212, ""name"": ""london england""}, {""id"": 388, ""name"": ""scotland""}, {""id"": 970, ""name"": ""parents kids relationship""}, {""id"": 1412, ""name"": ""becoming an adult""}, {""id"": 2486, ""name"": ""fantasy""}, {""id"": 2784, ""name"": ""mother role""}, {""id"": 3321, ""name"": ""childhood memory""}, {""id"": 3836, ""name"": ""success""}, {""id"": 4129, ""name"": ""widow""}, {""id"": 4326, ""name"": ""theatre play""}, {""id"": 4327, ""name"": ""stroke of fate""}, {""id"": 4328, ""name"": ""costume""}, {""id"": 4332, ""name"": ""peter pan""}, {""id"": 4333, ""name"": ""theatre group""}, {""id"": 4414, ""name"": ""adventure""}, {""id"": 4549, ""name"": ""loss of husband""}, {""id"": 5809, ""name"": ""marriage crisis""}, {""id"": 6034, ""name"": ""theatre milieu""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 6150, ""name"": ""faith""}, {""id"": 9457, ""name"": ""single""}, {""id"": 10707, ""name"": ""mother daughter relationship""}, {""id"": 10818, ""name"": ""author""}, {""id"": 12988, ""name"": ""pirate""}, {""id"": 40895, ""name"": ""illness""}, {""id"": 184989, ""name"": ""spectacle""}, {""id"": 208349, ""name"": ""child""}]",en,Finding Neverland,Finding Neverland is an amusing drama about how the story of Peter Pan and Neverland came to be. During a writing slump play writer J.M. Barrie meets the widowed Sylvia and her three children who soon become an important part of Barrie’s life and the inspiration that lead him to create his masterpiece “Peter Pan.”,34.160448,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Film Colony"", ""id"": 560}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/17/2004,116766556,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Where will your imagination take you?,Finding Neverland,7.2,1223
25000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",,619,"[{""id"": 1156, ""name"": ""sister sister relationship""}, {""id"": 1596, ""name"": ""anonymous letter""}, {""id"": 2992, ""name"": ""diva""}, {""id"": 3088, ""name"": ""bodyguard""}, {""id"": 3089, ""name"": ""oscar award""}, {""id"": 12670, ""name"": ""los angeles""}]",en,The Bodyguard,"A former Secret Service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. At first, the safety-obsessed bodyguard and the self-indulgent diva totally clash. But before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance.",26.576385,"[{""name"": ""Tig Productions"", ""id"": 335}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Kasdan Pictures"", ""id"": 13040}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/25/1992,411006740,129,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Never let her out of your sight. Never let your guard down. Never fall in love.,The Bodyguard,6.1,661
450000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,15624,"[{""id"": 811, ""name"": ""dialogue""}, {""id"": 814, ""name"": ""talking""}, {""id"": 3584, ""name"": ""bridesmaid""}, {""id"": 11327, ""name"": ""wedding reception""}, {""id"": 13027, ""name"": ""wedding""}, {""id"": 41354, ""name"": ""dialogue driven""}]",en,Conversations with Other Women,"Reunited at a wedding after many years, former lovers again feel the pull of a mutual attraction neither is willing to admit. Escaping the reception for the privacy of a hotel room, the unnamed pair explore the choices of the past that led them to the present.",4.442355,"[{""name"": ""Prophecy Pictures Ltd."", ""id"": 41047}, {""name"": ""Gordonstreet Pictures"", ""id"": 60473}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/7/2006,973525,84,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,There are two sides to every love story.,Conversations with Other Women,6.2,38
