budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
24000000,"[{""id"": 35, ""name"": ""Comedy""}]",http://www.oldschool-themovie.com,11635,"[{""id"": 171134, ""name"": ""sex doll""}, {""id"": 171143, ""name"": ""streaking""}, {""id"": 171150, ""name"": ""mouth to mouth resuscitation""}]",en,Old School,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,24.70166,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""The Montecito Picture Company"", ""id"": 2364}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/21/2003,87055349,91,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"All the fun of college, none of the education.",Old School,6.6,541
12000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.projectalmanac.com/,227719,"[{""id"": 4379, ""name"": ""time travel""}, {""id"": 5455, ""name"": ""time machine""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 163053, ""name"": ""found footage""}]",en,Project Almanac,"A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control.",32.940597,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""MTV Films"", ""id"": 746}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""Insurge Pictures"", ""id"": 7377}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1/30/2015,32248241,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Today is better the second time around,Project Almanac,6.4,933
4000000,"[{""id"": 35, ""name"": ""Comedy""}]",,10246,"[{""id"": 255, ""name"": ""male nudity""}, {""id"": 293, ""name"": ""female nudity""}, {""id"": 572, ""name"": ""sex""}, {""id"": 1196, ""name"": ""florida""}, {""id"": 2389, ""name"": ""virgin""}, {""id"": 2483, ""name"": ""nudity""}, {""id"": 6593, ""name"": ""stripper""}, {""id"": 10250, ""name"": ""redneck""}, {""id"": 10873, ""name"": ""school""}, {""id"": 11254, ""name"": ""loss of virginity""}, {""id"": 12011, ""name"": ""hijinks""}, {""id"": 12425, ""name"": ""racism""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 14794, ""name"": ""lust""}, {""id"": 15075, ""name"": ""mischief""}, {""id"": 156391, ""name"": ""peeping tom""}, {""id"": 161266, ""name"": ""teaching""}, {""id"": 161267, ""name"": ""misadventure""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 180340, ""name"": ""voyeur""}, {""id"": 206850, ""name"": ""canuxploitation""}, {""id"": 208445, ""name"": ""virginity""}]",en,Porky's,"Set in 1954, a group of Florida high schoolers seek out to lose their virginity which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.",12.891276,"[{""name"": ""Melvin Simon Productions"", ""id"": 2124}, {""name"": ""Astral Bellevue Path\u00e9"", ""id"": 10313}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}]",11/13/1981,125728258,94,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Keep an eye out for the funniest movie about growing up ever made!,Porky's,6.1,183
70000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",http://www.warnerbros.com/fools-gold,8676,"[{""id"": 720, ""name"": ""helicopter""}, {""id"": 1227, ""name"": ""cemetery""}, {""id"": 1422, ""name"": ""boat""}, {""id"": 1666, ""name"": ""mexican standoff""}, {""id"": 1938, ""name"": ""sword""}, {""id"": 1964, ""name"": ""cave""}, {""id"": 2580, ""name"": ""shipwreck""}, {""id"": 3342, ""name"": ""yacht""}, {""id"": 3345, ""name"": ""bahamas""}, {""id"": 3468, ""name"": ""jet ski""}, {""id"": 6956, ""name"": ""treasure hunt""}, {""id"": 9823, ""name"": ""rivalry""}, {""id"": 10503, ""name"": ""scuba diving""}, {""id"": 13142, ""name"": ""gangster""}, {""id"": 14785, ""name"": ""underwater""}, {""id"": 15160, ""name"": ""divorce""}, {""id"": 41185, ""name"": ""heiress""}, {""id"": 163758, ""name"": ""ex-husband ex-wife relationship""}, {""id"": 194943, ""name"": ""henchmen""}]",en,Fool's Gold,"Treasure hunter Ben ""Finn"" Finnegan has sunk his marriage to Tess and his trusty boat in his obsessive quest to find the legendary Queen's Dowry. When he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags Tess and her boss, billionaire Nigel Honeycutt, along on the hunt. But Finn is not the only one interested in the gold; his former mentor-turned-enemy Moe Fitch will stop at nothing to beat him to it.",21.789615,"[{""name"": ""De Line Pictures"", ""id"": 2609}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/7/2008,111231041,112,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,This February True Love Takes a Dive.,Fool's Gold,5.4,444
30000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.safethefilm.com/,72387,"[{""id"": 180366, ""name"": ""broken trachea""}]",en,Safe,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.",31.92695,"[{""name"": ""Lawrence Bender Productions"", ""id"": 2253}, {""name"": ""IM Global"", ""id"": 7437}, {""name"": ""Automatik Entertainment"", ""id"": 7625}, {""name"": ""Trigger Street Productions"", ""id"": 11801}, {""name"": ""87Eleven"", ""id"": 23008}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/16/2012,40346186,94,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,She has the code. He is the key.,Safe,6.3,799
10000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",http://www.dogma-movie.com/,1832,"[{""id"": 290, ""name"": ""angel""}, {""id"": 2024, ""name"": ""wisconsin""}, {""id"": 4636, ""name"": ""church service""}, {""id"": 14765, ""name"": ""church""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,Dogma,"The latest battle in the eternal war between Good and Evil has come to New Jersey in the late, late 20th Century. Angels, demons, apostles and prophets (of a sort) walk among the cynics and innocents of America and duke it out for the fate of humankind.",14.543435,"[{""name"": ""Lions Gate"", ""id"": 6644}, {""name"": ""View Askew Productions"", ""id"": 16934}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/12/1999,30652890,130,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It can be Hell getting into Heaven,Dogma,6.8,823
33000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.pandorummovie.com/,19898,"[{""id"": 4565, ""name"": ""dystopia""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 10364, ""name"": ""mission""}]",en,Pandorum,"Two crew members wake up on an abandoned spacecraft with no idea who they are, how long they've been asleep, or what their mission is. The two soon discover they're actually not alone – and the reality of their situation is more horrifying than they could have imagined.",28.353517,"[{""name"": ""Impact Pictures"", ""id"": 248}, {""name"": ""Constantin Film Produktion"", ""id"": 5755}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",9/8/2009,20645327,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""vi"", ""name"": ""Ti\u1ebfng Vi\u1ec7t""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,Don't fear the end of the world. Fear what happens next.,Pandorum,6.5,774
100000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",,869,"[{""id"": 690, ""name"": ""gorilla""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 1828, ""name"": ""space suit""}, {""id"": 2020, ""name"": ""revolution""}, {""id"": 2552, ""name"": ""chimp""}, {""id"": 2831, ""name"": ""slavery""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 4379, ""name"": ""time travel""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 10158, ""name"": ""alien planet""}, {""id"": 14759, ""name"": ""ape""}, {""id"": 207569, ""name"": ""human subjugation""}]",en,Planet of the Apes,"After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.",51.188633,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Tim Burton Productions"", ""id"": 8601}, {""name"": ""Zanuck Company, The"", ""id"": 20004}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/25/2001,362211740,119,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,You'll be sorry you were ever born human,Planet of the Apes,5.6,1243
120000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.howdoyouknow-movie.com/,42888,"[{""id"": 128, ""name"": ""love triangle""}, {""id"": 1480, ""name"": ""baseball""}, {""id"": 10456, ""name"": ""athlete""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]",en,How Do You Know,"After being cut from the USA softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau.",11.137655,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Gracie Films"", ""id"": 18}, {""name"": ""Road Rebel"", ""id"": 2648}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/17/2010,48668907,121,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,How do you know it's love?,How Do You Know,4.9,223
2000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",,43839,"[{""id"": 1691, ""name"": ""dance""}, {""id"": 167411, ""name"": ""ragtime""}, {""id"": 225156, ""name"": ""concert tour""}]",en,Alexander's Ragtime Band,"Roger Grant, a classical violinist, disappoints his family and teacher when he organizes a jazz band, but he and the band become successful. Roger falls in love with his singer Stella, but his reluctance to lose her leads him to thwart her efforts to become a solo star. When the World War separates them in 1917, Stella marries Roger's best friend Charlie. Roger comes home after the war and an important concert at Carnegie Hall brings the corners of the romantic triangle together.",0.483974,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/24/1938,4000000,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,An American Cavalcade!,Alexander's Ragtime Band,4.8,6
50000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",,216282,"[{""id"": 2213, ""name"": ""tornado""}, {""id"": 12105, ""name"": ""student""}, {""id"": 163053, ""name"": ""found footage""}, {""id"": 199076, ""name"": ""disaster movie""}]",en,Into the Storm,"The town of Silverton is in one day destroyed by the unprecedented power of a series of tornadoes. The population is at the mercy of the unpredictable and deadly cyclones, while hunters warn that the worst is yet to come. Most people find shelter, but some just go to the tornado for that one, unique shot.",20.566554,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Broken Road Productions"", ""id"": 8000}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/6/2014,160602194,89,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Prepare to go,Into the Storm,5.8,817
28000000,"[{""id"": 10749, ""name"": ""Romance""}]",,112949,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 1415, ""name"": ""small town""}, {""id"": 33476, ""name"": ""widower""}, {""id"": 33479, ""name"": ""single father""}, {""id"": 212643, ""name"": ""abusive husband""}]",en,Safe Haven,"A young woman with a mysterious past lands in Southport, North Carolina where her bond with a widower forces her to confront the dark secret that haunts her.",37.729059,"[{""name"": ""Temple Hill Productions"", ""id"": 722}, {""name"": ""Relativity Media"", ""id"": 7295}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/7/2013,97594140,115,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,You know it when you find it,Safe Haven,6.9,823
22000000,"[{""id"": 35, ""name"": ""Comedy""}]",,11453,"[{""id"": 437, ""name"": ""painter""}, {""id"": 587, ""name"": ""amsterdam""}, {""id"": 630, ""name"": ""dolphin""}, {""id"": 1295, ""name"": ""europe""}, {""id"": 1667, ""name"": ""pimp""}, {""id"": 2699, ""name"": ""fetish""}, {""id"": 3248, ""name"": ""gigolo""}, {""id"": 34112, ""name"": ""wig""}, {""id"": 41327, ""name"": ""snorkel""}, {""id"": 41328, ""name"": ""whistle""}]",en,Deuce Bigalow: European Gigolo,Deuce Bigalow goes to Amsterdam after a little accident including two irritating kids and a bunch of aggressive dolphins. There he meets up with his old friend T.J. Hicks. But a mysterious killer starts killing some of Amsterdam's finest gigolos and T.J. is mistaken for the extremely gay murderer. Deuce must enter the gigolo industry again to find the real murderer and clear T.J.'s name.,10.259461,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Out of the Blue... Entertainment"", ""id"": 879}, {""name"": ""Happy Madison Productions"", ""id"": 2608}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/6/2005,22400154,83,"[{""iso_639_1"": ""nl"", ""name"": ""Nederlands""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""pl"", ""name"": ""Polski""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,For the women of Europe... The price of love just got a lot cheaper.,Deuce Bigalow: European Gigolo,4.7,225
5000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.stayinyourroom.com/,298312,"[{""id"": 897, ""name"": ""rap music""}, {""id"": 904, ""name"": ""pennsylvania""}, {""id"": 1155, ""name"": ""brother sister relationship""}, {""id"": 4932, ""name"": ""farm""}, {""id"": 9229, ""name"": ""grandparents""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10103, ""name"": ""children""}, {""id"": 10183, ""name"": ""independent film""}, {""id"": 13127, ""name"": ""farmhouse""}, {""id"": 14768, ""name"": ""single mother""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 160841, ""name"": ""oven""}, {""id"": 163053, ""name"": ""found footage""}, {""id"": 172664, ""name"": ""hide and seek""}, {""id"": 200283, ""name"": ""diaper""}]",en,The Visit,"The terrifying story of a brother and sister who are sent to their grandparents' remote Pennsylvania farm for a weeklong trip. Once the children discover that the elderly couple is involved in something deeply disturbing, they see their chances of getting back home are growing smaller every day.",38.94708,"[{""name"": ""Blumhouse Productions"", ""id"": 3172}, {""name"": ""Blinding Edge Pictures"", ""id"": 12236}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/10/2015,98450062,94,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,No one loves you like your grandparents.,The Visit,6,1360
110000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10752, ""name"": ""War""}]",http://www.300themovie.com/,53182,"[{""id"": 18712, ""name"": ""based on graphic novel""}, {""id"": 162861, ""name"": ""ancient greece""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 182677, ""name"": ""sea battle""}, {""id"": 188955, ""name"": ""hand to hand combat""}, {""id"": 190999, ""name"": ""minions""}, {""id"": 195862, ""name"": ""naval warfare""}, {""id"": 209714, ""name"": ""3d""}]",en,300: Rise of an Empire,"Based on Frank Miller's latest graphic novel Xerxes and told in the breathtaking visual style of the blockbuster ""300,"" this new chapter of the epic saga takes the action to a fresh battlefield--on the sea--as Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. ""300: Rise of an Empire"" pits Themistokles against the massive invading Persian forces led by mortal-turned-god Xerxes and Artemesia, the vengeful commander of the Persian navy.",71.510596,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Hollywood Gang Productions"", ""id"": 2994}, {""name"": ""Atmosphere Entertainment MM"", ""id"": 2995}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Nimar Studios"", ""id"": 7636}, {""name"": ""Cruel and Unusual Films"", ""id"": 78685}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/5/2014,337580051,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Seize your glory!,300: Rise of an Empire,6.1,2397
12000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",,57214,"[{""id"": 2016, ""name"": ""vandalism""}, {""id"": 6270, ""name"": ""high school""}, {""id"": 8181, ""name"": ""swimming pool""}, {""id"": 8508, ""name"": ""party""}, {""id"": 11870, ""name"": ""teen movie""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 15162, ""name"": ""dog""}, {""id"": 33910, ""name"": ""high school student""}, {""id"": 160517, ""name"": ""fake documentary""}, {""id"": 171134, ""name"": ""sex doll""}, {""id"": 182145, ""name"": ""lime""}, {""id"": 182147, ""name"": ""underwater photography""}, {""id"": 182148, ""name"": ""bouncy castle""}, {""id"": 182163, ""name"": ""flash grenade""}]",en,Project X,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",49.070321,"[{""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Green Hat Films"", ""id"": 3527}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/1/2012,100000000,88,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Witness it,Project X,6.5,1564
30000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",http://www.prideandglorymovie.com/,13150,"[{""id"": 467, ""name"": ""megacity""}, {""id"": 2102, ""name"": ""brother-in-law""}, {""id"": 6149, ""name"": ""police""}]",en,Pride and Glory,"A saga centered on a multi-generational family of New York City Police officers. The family's moral codes are tested when Ray Tierney, investigates a case that reveals an incendiary police corruption scandal involving his own brother-in-law. For Ray, the truth is revelatory, a Pandora's Box that threatens to upend not only the Tierney legacy but the entire NYPD.",10.703602,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Solaris Film"", ""id"": 1001}, {""name"": ""Avery Pix"", ""id"": 1565}, {""name"": ""O'Connor Brothers"", ""id"": 12066}, {""name"": ""Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG"", ""id"": 12067}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",9/9/2008,31148328,130,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Truth. Honor. Loyalty. Family. What are you willing to sacrifice?,Pride and Glory,6.3,240
